,Unnamed: 0,question_and_options,answer,difficulty
0,0,<div><p>Which one of the following was a very important seaport in the Kakatiya kingdom?</p><p>(a) Kakinada</p><p>(b) Motupalli</p><p>(c) Machilipatnam (Masulipatnam)</p><p>(d) Nelluru</p></div>,b,Difficult
1,1,"<div><p>With reference to ‘Global Climate Change Alliance’, which of the following statements is/are correct?</p><p>1. It is an initiative of the European Union.</p><p>2. It provides technical and financial support to targeted developing countries to integrate climate change into their development policies and budgets.</p><p>3. It is coordinated by World Resources Institute (WRI) and World Business Council for Sustainable Development (WBCSD).</p><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Difficult
2,2,"<div><p>With reference to the religious history of India, consider the following statements:</p><p>1. Sautrantika and Sammitiya were the sects of Jainism.</p><p>2. Sarvastivadin held that the constituents of phenomena were not wholly momentary, but existed forever in a latent form.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) <span style=""""><span>2 only</span></span></p><p>(c) <span style=""""><span>Both 1 and 2</span></span></p><p>(d) Neither 1 nor 2</p></div>",b,Difficult
3,3,"<div><p>Mediterranean Sea is a border of which of the following countries?</p><p>&nbsp; &nbsp;1. Jordan &nbsp; &nbsp;2. Iraq &nbsp; &nbsp;3. Lebanon &nbsp; &nbsp;4. SyriaSelect the correct answer using the code given below:</p><p>(a) 1, 2 and 3</p><p>(b) 2 and 3 only</p><p>(c) 3 and 4 only</p><p>(d) 1, 3 and 4 only</p></div>",c,Medium
4,4,"<div><p>With reference to ‘National Investment and Infrastructure Fund’, which of the following statements is/are correct?</p><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 1. It is an organ of NITI Aayog. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 2. It has a corpus of Rs. 4,00,000 crore at present. Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Medium
5,5,<div><p>The Global Infrastructure Facility is a/an</p><p>(a) ASEAN initiative to upgrade infrastructure in Asia and financed by credit from the Asian Development Bank.</p><p>(b) World Bank collaboration that facilities the preparation and structuring of complex infrastructure Public-Private Partnership (PPPs) to enable mobilization of private sector and institutional investor capital.</p><p>(c) Collaboration among the major banks of the world working with the OECD and infrastructure projects that have the potential to mobilize private investment.</p><p>(d) UNCTAD funded initiative that seeks to finance and facilitate infrastructure development in the World.</p></div>,b,Difficult
6,6,"<div><p>For election to the Lok Sabha, a nomination paper can be filed by</p><p>(a) anyone residing in India.</p><p>(b) a resident of the constituency from which the election is to be contested.</p><p>(c) any citizen of India whose name appears in the electoral roll of a constituency.</p><p>(d) any citizen of India.</p></div>",c,Easy
7,7,"<div><p>Consider the following statements:</p><p>&nbsp; &nbsp; &nbsp; &nbsp; 1. In India, the Himalayas are spread over five states only. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; 2. The Western Ghats are spread over five states only. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; 3. Pulicat Lake is spread over two states only.</p><p>&nbsp; Which of the statements given above is/are correct?</p><p>(a) <span style=""""><span>1 and 2 only</span></span></p><p>(b) <span style=""'color:"" data-mce-style=""'color:"">3 only</span></p><p>(c) <span style=""""><span>2 and 3 only</span></span></p><p>(d) <span style=""""><span>1 and 3 only</span></span></p></div>",b,Difficult
8,8,<div><p>Biological Oxygen Demand (BOD) is a standard criterion for</p><p>(a) Measuring oxygen levels in blood</p><p>(b) Computing oxygen levels in forest ecosystems</p><p>(c) Pollution assay in aquatic ecosystems</p><p>(d) Assessing oxygen levels in high altitude regions</p></div>,c,Easy
9,9,"<div><p>With reference to the role of UN-Habitat in the United Nations Programme working towards a better urban future, which of the statements is/are correct?</p><p>1. UN-Habitat has been mandated by the United Nations General Assembly to promote socially and environmentally sustainable towns and cities to provide adequate shelter for all. <br>2. Its partners are either governments or local urban authorities only. <br>3. UN-Habitat contributed to the overall objective of the United Nations system to reduce poverty and to promote access to safe drinking water and basic sanitation. <br>Select the correct answer using the code given below:</p><p>(a) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>1, 2 and 3</span></font></p><p>(b) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>1 and 3 only</span></font></p><p>(c) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>2 and 3 only</span></font></p><p>(d) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>1 only</span></font></p></div>",b,Medium
